date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
2019-11-01,290.6305236816406,296.4346618652344,294.12506103515625,101853.6171875,292.5039978027344,100806.3515625,0.004297100007534027,3.5613231658935547,0.9416946768760681
2019-11-02,289.1352844238281,298.4324035644531,295.5516662597656,101225.1640625,293.3379211425781,100187.25,0.001766970381140709,5.3185930252075195,3.258236885070801
2019-11-03,287.6676940917969,296.61212158203125,295.1828308105469,100806.6171875,293.67431640625,99771.4140625,0.000797010026872158,8.447649002075195,3.1729822158813477
2019-11-04,287.6346435546875,297.1737365722656,294.3681335449219,101240.9296875,292.376220703125,100200.84375,0.00039327889680862427,5.991428375244141,2.2366998195648193
2019-11-05,286.4137878417969,294.28485107421875,292.4969787597656,101131.75,289.14306640625,100088.5,0.004657875746488571,6.9627299308776855,2.6553637981414795
2019-11-06,283.4087829589844,292.33612060546875,289.7276306152344,101370.9375,287.1883544921875,100318.9765625,0.005435148254036903,5.762589931488037,0.5640445351600647
2019-11-07,283.2113952636719,293.4198913574219,290.4151916503906,101249.84375,286.82373046875,100201.875,0.0002479255199432373,4.00305700302124,2.685758590698242
2019-11-08,281.3899230957031,290.577392578125,288.3963317871094,101331.3515625,286.5915222167969,100274.3046875,0.0055718570947647095,6.604807376861572,0.6768966317176819
2019-11-09,280.6813659667969,291.2164001464844,289.1844787597656,101801.1953125,286.8912048339844,100742.28125,0.0003604721277952194,7.4592204093933105,0.22875241935253143
2019-11-10,282.4958801269531,287.45867919921875,286.0033264160156,101158.3046875,283.8366394042969,100094.7109375,0.02992216683924198,4.831686019897461,0.7623739242553711
2019-11-11,281.0256042480469,288.5552978515625,286.9350891113281,101095.0859375,284.14398193359375,100033.6171875,0.004549514502286911,6.183703899383545,-1.888745665550232
2019-11-12,282.5312805175781,287.97540283203125,287.4626159667969,101044.1875,286.89801025390625,99988.8828125,0.009929362684488297,3.1787374019622803,-2.0418360233306885
2019-11-13,284.2867736816406,289.91033935546875,288.3803405761719,100997.6328125,286.1131286621094,99946.8984375,0.009136160835623741,5.446436405181885,2.582334041595459
2019-11-14,284.291259765625,293.2788391113281,289.7700500488281,100674.53125,286.15802001953125,99632.1484375,0.003291759639978409,4.697636127471924,3.1860740184783936
2019-11-15,281.38262939453125,288.2645263671875,286.1379089355469,100623.2734375,283.9501647949219,99567.3046875,0.004061112180352211,5.197206020355225,2.639425754547119
2019-11-16,280.1438903808594,285.9895935058594,284.51898193359375,100999.96875,283.6587829589844,99933.6015625,0.01290978118777275,5.370028972625732,0.5000640749931335
2019-11-17,279.41162109375,289.19378662109375,287.2785949707031,101503.59375,285.1905517578125,100441.5078125,0.0006027594208717346,6.175180912017822,2.33178448677063
2019-11-18,282.907958984375,289.45294189453125,286.7522277832031,101106.1640625,284.47003173828125,100048.1875,0.024332545697689056,4.95947265625,2.7283213138580322
2019-11-19,281.2229309082031,288.4981994628906,285.2033386230469,101709.28125,282.8539733886719,100640.4765625,0.003459326922893524,3.1989853382110596,0.8794671893119812
2019-11-20,280.3651428222656,289.7530822753906,285.9825744628906,101344.1171875,282.348388671875,100287.9921875,3.886409103870392e-05,0.4668412506580353,1.3204272985458374
2019-11-21,283.4494323730469,291.3427429199219,288.2612609863281,101161.4453125,285.2021179199219,100111.96875,6.889551877975464e-05,1.458597183227539,1.8568638563156128
2019-11-22,283.75946044921875,294.4199523925781,289.8697814941406,100665.5625,285.25433349609375,99628.7734375,0.0011638179421424866,0.09518516063690186,2.968897581100464
2019-11-23,284.3708190917969,292.5365295410156,289.94207763671875,100172.9140625,287.6502380371094,99133.3828125,0.009119542315602303,6.6379923820495605,3.548401117324829
2019-11-24,281.07122802734375,289.88970947265625,288.45379638671875,101219.3046875,286.72821044921875,100163.75,0.0003296881914138794,7.7718586921691895,-0.7341851592063904
2019-11-25,283.6024475097656,290.9466857910156,288.87890625,101522.15625,286.3038330078125,100466.875,0.00042703747749328613,5.995084762573242,1.869153380393982
2019-11-26,286.12109375,292.5574035644531,289.7420349121094,101492.4296875,287.3642272949219,100444.0546875,6.336160004138947e-05,2.3988089561462402,1.8247452974319458
2019-11-27,286.3267822265625,293.87884521484375,291.1102600097656,101353.2890625,287.5711669921875,100308.9765625,2.576597034931183e-05,3.8079588413238525,1.9499174356460571
